part_01|+|29|0|29
part_08|+|53|0|53
part_02|-|719|0|-719
part_05|-|677|0|-677
part_04|+|95|0|95
part_05|+|875|-677|198
part_02|-|143|-719|-862
part_09|-|947|0|-947
part_03|+|503|0|503
part_03|+|223|503|726
part_06|+|37|0|37
part_08|+|862|53|915
part_06|-|938|37|-901
part_06|+|375|-901|-526
part_06|+|198|-526|-328
part_02|+|336|-862|-526
part_03|-|319|726|407
part_08|+|646|915|1561
part_08|+|608|1561|2169
part_08|-|747|2169|1422
part_08|-|105|1422|1317
part_09|+|517|-947|-430
part_02|-|358|-526|-884
part_09|-|72|-430|-502
part_08|+|726|1317|2043
part_01|-|662|29|-633
part_06|+|267|-328|-61
part_04|+|669|95|764
part_06|-|789|-61|-850
part_04|-|241|764|523
part_04|-|668|523|-145
part_05|+|723|198|921
part_08|+|605|2043|2648
part_02|-|565|-884|-1449
part_10|-|667|0|-667
part_08|-|297|2648|2351
part_09|+|730|-502|228
part_06|+|21|-850|-829
part_08|-|286|2351|2065
part_02|-|151|-1449|-1600
part_02|-|730|-1600|-2330
part_06|+|4|-829|-825
part_05|+|792|921|1713
part_01|-|753|-633|-1386
part_10|-|141|-667|-808
part_01|+|862|-1386|-524
part_05|+|517|1713|2230
part_02|-|223|-2330|-2553
part_08|-|916|2065|1149
part_02|-|541|-2553|-3094
part_07|-|913|0|-913
part_08|+|478|1149|1627
part_07|+|440|-913|-473
part_06|-|645|-825|-1470
part_09|+|715|228|943
part_06|-|790|-1470|-2260
part_02|+|98|-3094|-2996
part_03|+|941|407|1348
part_08|+|539|1627|2166
part_02|+|81|-2996|-2915
part_08|-|978|2166|1188
part_02|+|563|-2915|-2352
part_10|+|860|-808|52
part_04|-|315|-145|-460
part_04|-|953|-460|-1413
part_03|+|834|1348|2182
part_05|-|715|2230|1515
part_03|-|548|2182|1634
part_09|-|560|943|383
part_07|-|362|-473|-835
part_05|+|62|1515|1577
part_09|+|22|383|405
part_10|+|875|52|927
part_01|+|460|-524|-64
part_08|+|232|1188|1420
part_03|-|443|1634|1191
part_05|+|0|1577|1577
part_07|-|945|-835|-1780
part_06|-|393|-2260|-2653
part_09|-|720|405|-315
part_07|-|785|-1780|-2565
part_07|+|943|-2565|-1622
part_03|-|50|1191|1141
part_06|-|416|-2653|-3069
part_05|+|769|1577|2346
part_09|+|935|-315|620
part_07|+|847|-1622|-775
part_05|+|389|2346|2735
part_04|+|523|-1413|-890
part_03|+|974|1141|2115
part_06|+|895|-3069|-2174
part_07|-|457|-775|-1232
part_05|+|477|2735|3212
part_05|+|782|3212|3994
part_01|+|5|-64|-59
part_03|-|780|2115|1335
part_07|-|819|-1232|-2051
part_02|-|392|-2352|-2744
part_06|-|17|-2174|-2191
part_07|+|562|-2051|-1489
part_06|+|8|-2191|-2183
part_02|-|936|-2744|-3680
part_03|-|753|1335|582
part_09|-|188|620|432
part_10|-|711|927|216
part_01|+|357|-59|298
part_07|+|817|-1489|-672
part_06|+|536|-2183|-1647
part_07|+|471|-672|-201
part_06|+|51|-1647|-1596
part_01|-|627|298|-329
part_01|+|727|-329|398
part_08|+|652|1420|2072
part_05|+|279|3994|4273
part_04|+|321|-890|-569
part_02|+|786|-3680|-2894
part_05|+|522|4273|4795
part_07|+|367|-201|166
part_08|+|149|2072|2221
part_03|+|377|582|959
part_04|+|612|-569|43
part_10|-|76|216|140
part_01|+|154|398|552
part_10|+|497|140|637
part_03|-|898|959|61
part_10|-|526|637|111
part_05|-|820|4795|3975
part_04|+|528|43|571
part_02|-|361|-2894|-3255
part_03|+|98|61|159
part_02|-|186|-3255|-3441
part_03|-|287|159|-128
part_09|+|340|432|772
part_01|-|922|552|-370
part_08|+|277|2221|2498
part_06|+|77|-1596|-1519
part_10|-|168|111|-57
part_10|-|40|-57|-97
part_03|+|977|-128|849
part_02|-|731|-3441|-4172
part_02|-|261|-4172|-4433
part_08|+|241|2498|2739
part_05|-|553|3975|3422
part_10|-|256|-97|-353
part_08|-|623|2739|2116
part_06|+|906|-1519|-613
part_04|-|632|571|-61
part_02|-|210|-4433|-4643
part_10|+|804|-353|451
part_06|-|674|-613|-1287
part_01|+|242|-370|-128
part_04|+|822|-61|761
part_10|+|472|451|923
part_07|-|460|166|-294
part_09|-|345|772|427
part_10|+|117|923|1040
part_01|-|524|-128|-652
part_07|+|407|-294|113
part_03|+|364|849|1213
part_08|-|725|2116|1391
part_09|-|613|427|-186
part_01|-|501|-652|-1153
part_07|+|626|113|739
part_01|-|201|-1153|-1354
part_01|-|704|-1354|-2058
part_10|-|572|1040|468
part_03|+|989|1213|2202
part_10|+|820|468|1288
part_02|+|619|-4643|-4024
part_01|+|764|-2058|-1294
part_09|-|83|-186|-269
part_08|+|56|1391|1447
part_10|-|670|1288|618
part_08|-|725|1447|722
part_04|+|478|761|1239
part_10|-|351|618|267
part_06|+|544|-1287|-743
part_04|-|308|1239|931
part_04|+|307|931|1238
part_06|-|987|-743|-1730
part_02|-|254|-4024|-4278
part_02|-|490|-4278|-4768
part_06|+|464|-1730|-1266
part_07|+|704|739|1443
part_09|+|397|-269|128
part_03|-|154|2202|2048
part_05|-|224|3422|3198
part_05|+|938|3198|4136
part_09|+|456|128|584
part_05|+|622|4136|4758
part_09|-|305|584|279
part_02|+|37|-4768|-4731
part_01|+|333|-1294|-961
part_01|+|916|-961|-45
part_05|+|181|4758|4939
part_01|-|953|-45|-998
part_06|-|65|-1266|-1331
part_09|-|130|279|149
part_08|+|253|722|975
part_10|-|415|267|-148
part_09|+|708|149|857
part_09|-|971|857|-114
